,rating,Late reviews,Sentiment score
30278,2.0,slowly prepare send parcel daysif dont say chat please send goodspoor storage services providing services poor shop serving services poor shop services poor shop serving services poor shop providing services poor shop serving services poor shop poor shop providing servicespoor shop services providing services shop,Negative
30422,5.0,waiting long time ordered time quarantine detained still coming stray kids maniac mv youtube,Negative
30614,1.0,worse sending product take long timewhen said ask didnt answer product without moneysince using shopeenever rate product starbut shop reallybad responsible,Negative
30616,3.0,showing long stembut sent short stemsuggestions pressed separate whether customer wants long short stalkbut necessary get lazy problemtransport shortly prepare long timepress cancel preparation long timebut refused cancelwho order please ask good,Negative
30618,3.0,slow delivery suitable people hurry message answerenough quit ordersbecause defined item arrive shop denies request todays,Negative
30627,3.0,saying find shop answer longerbut enough cancel refusalbut message reply anythingthen hurry use item order send,Negative
30632,1.0,delivery slowordered day delivery actual delivery day response customer impressedsay many timesbut cancel productif anyone hurry recommendbut anyone wait,Negative
30637,1.0,bad shopthan expire slowlyso scheduled many dayswhen pressed cancel,Negative
30653,1.0,send slow items completesay message response talk terrible,Negative
30659,2.0,delivered slowly order day day sentwhen click cancel,Negative
30662,1.0,sent slowly cancel shop cancelif correction delayed slowly,Negative
30664,1.0,everything good bad thing service shop answer delayed messageno response must stimulate yourselfno contact information shop sent product wrong order received product talk reply refund waste time,Negative
30672,2.0,shop slowis sun sendboth order campaign perioduntil press product send productbut product complete problem,Negative
30686,2.0,send item slowly pressed cancel probably possiblehabe days store respondedcome answer againunderstand people order lot administrator answer customer,Negative
30710,3.0,cheap little longeruntil cancelbut pressing canceling pressure,Negative
30712,1.0,shop terrible worst best prepared long time days orderrequesting cancel product refused cancel really bad,Negative
30738,4.0,wait product long timein system delivery powerbut refused sendmust say many rounds sendand fast,Negative
30748,1.0,wholesale person slowi set delivery date answer chatwe see shop deliver goods transportso cancel orderbut shop refused cancelis frustrated cancel orderboth store still sending goods transport refusedsome people soonwe probably bad,Negative
30769,3.0,delivered distracted later examination swollen,Negative
30829,3.0,cheap products broken slow,Negative
30852,1.0,slow delivery box without solution,Negative
30858,2.0,send slowly dont want answer customers,Negative
30862,4.0,delivery quite slowbut understand may stuck,Negative
30902,4.0,star broken answer slow question good products,Negative
30932,2.0,slowly delivered enough cancel,Negative
30949,4.0,star broken preparation product slow,Negative
31115,4.0,star broken delayed later stores,Negative
31487,4.0,yesis preorder understand slowlybut admin answered little confused talk thisboth yoke women men one person told meanother person told come leave toonow issue admin response important,Negative
31541,1.0,give image tell story rotate slowly fall soonsummary release hotspot phone speed still six lose emotions much machine,Negative
31646,2.0,items review problem problem must answered another dayswaiting long time wait solve problem,Negative
31759,4.0,send product fasteasy use sometimes lost signals including goodwait see longterm use,Negative
31761,1.0,many internet signals use use highest internet packsunstable internetthe seller didnt know answerunfortunately life lateand sim connector plugged embedded allvery bad,Negative
31787,4.0,used ok updating quite difficult puzzled take time quite long time,Negative
31816,3.0,ok product stores slow transportationcome provinces wait get angry introduce transportation company,Negative
31828,3.0,felt router used whilecan connectsometimes sureis signal device must come sit press routine standard quality machinethis surethe transport considered slowbut problem machine,Negative
32130,4.0,good slip sound clickcan connect usb bluetooth star broken bit slow good slip sound clickcan connect usb bluetooth star broken bit slow,Negative
32407,5.0,received productvery fast delivery wait long time disappointed good shop quick,Negative
32408,4.0,received product sensitive transmission condition try use normally used week slowly yet slowbut think battery weak response quite slow,Negative
32414,5.0,good quality products fast delivery inexpensive try use longterm problems sure product used problem,Negative
32421,5.0,latest reveals rooster man wore remember first ep seen people killing people alone sometimes short people many ept passednot mention peoplein conclusion actuallyhow many people,Negative
32514,5.0,received productvery fast delivery wait long time disappointed good shop quick,Negative
32550,5.0,order sensitivethere plus charging wires cheap unsure endure long,Negative
32634,4.0,delivery ask try use enough catch minutesmouse drag rarelyone level delayso must pressed turn timessilent clicklets deduct slow,Negative
33165,1.0,bad according price chinaslowly battery soft move mouse still rarelyclicklike button must click clicked lazy send back technician baht used use nubwothe quality summary bad,Negative
33328,4.0,get product okthe pack damaged normal delivery slow overall overall okay cheap productsthere lot tea,Negative
33459,5.0,received product wait long time dont hurrygood cute products normally available damagewell get product wait long time dont hurrycute products normally available damage,Negative
33702,4.0,product quality five full slowly delivered pack product wellgood product product quality five full delay slowly pack product well,Negative
33848,5.0,received sensitive product days order received price read review thought quite goodcan use long time dont know yetbut good price,Negative
33858,5.0,received sensitive product days order received price read review thought quite goodcan use long time dont know yetbut good price,Negative
33958,5.0,product delivered quite quickly wait long time take daysthe product well wrappedtry use itwhat product lose,Negative
34145,5.0,received productdoes damage anythingimportantly keypad softsoft plus quiet soundbarely heard click mount continue bluetooth easyand battery extremeone time charging long,Negative
34395,5.0,send fastthe product pack tightnothing damaged product yet usedgive star firstif problem break star later,Negative
34608,4.0,delivery fast wait long timeoverall considered satisfied productbut broken one starbecause line given productthe fire chart enter okayuse charging chart cable normallyquite heavy try see long,Negative
34923,5.0,shop sensitivetransport sensitivethe product damaged work wellbeautiful color like daughterwhen battery signalso dont know long must charged,Negative
35424,5.0,preorder productswait long time thinkdo hurry use compact pieces suitable eating alone sucking stick pan,Negative
35610,5.0,saw preorder thinking would wait long time long agocompact suitable eating alonetry plugging hotwrapped box well damaged,Negative
35647,3.0,slowthere lot blamethere lot blamethere lot blamethere blame slowly,Negative
35793,4.0,fast shopthe color meets star broken order edge pan one sidethe pan weight plastichot slow calmly,Negative
35836,5.0,pan hoteat people comfortablybut waste oil storage eating baconmust wait take oilotherwisecleaning easydo stick pan wellbut controlling coated pan fall farmhow long use itbut price considered worthwhile,Negative
35934,5.0,hot less minutes hot compactsuitable peoplethe transport little slowthe item damaged hot less minutes hot compactsuitable peoplethe transport little slowthe item damaged,Negative
36140,4.0,bad like thin plastic fast knowing grill long time melt,Negative
36694,4.0,products work wellsuitable waiting hot slow people impatient may wait lose emotionssuitable grill,Negative
36710,1.0,transport bad send slowly start sending product pages buyno heat son eats pork pan long time ripein conclusion waste time wasting lot feelings,Negative
37365,4.0,sensitive productunfortunately color doesnt match imagethe real color dropdown picture shop sells bit give lot ratings delivery product doesnt want wait long timecan buy shop,Negative
37441,3.0,received product complete number match order color delivered something thin shop fast stuck slow transport,Negative
37483,4.0,wait long time still seeingpress wrong address probably expectedis accepted choose buy,Negative
39514,4.0,delivery shopquite slow star broken product goodput box neat problem inexpensive,Negative
40499,4.0,received confused puzzled item color beautifulbut okay fake dont hold item confusedto slow okay okay fake dont holdthe beautiful color slow,Negative
41955,5.0,getthe shop quickly delivered even yala came slowly destination base express himselfstuck many days must go bass fault shopnot yet viewedthe one condo,Negative
42179,5.0,order febs mar slowly chinabut okay dont hurry dont damage anything cute,Negative
42295,5.0,received itemthe delivery country waiting long time waitthe product damage blamevery worth price bh,Negative
42319,5.0,product cutefrom abroadwait ten days longimpressed delivery mosttake item filled fear fear,Negative
42320,4.0,received product orderedproducts without blameput good shockproof packof inside damageddelivery foreign countries waiting little longer,Negative
42400,5.0,product slow attached festival imported china causing delays problem products ordered,Negative
42544,5.0,good condition shop delivery product accurate accurate according orders products according advertising media enough packaging enter problem disappear delivery period bit long time,Negative
42551,5.0,received product valuewait long time china weekthe price one baht confused,Negative
42669,5.0,received product completely damage shop send product long time understood sent abroadwaiting little longer,Negative
43045,3.0,baht per piece provoking waiting long time baht per piece provoking waiting long time baht per piece provoking waiting long time,Negative
43188,5.0,received product successfullywait long time waitthe goods damaged product completedof damaged cheap straight cover,Negative
43355,5.0,received large enoughthe shop folded still crease used whileits little slow dont hurry useit worth,Negative
43392,3.0,shop slowand sent wrong color order black shop proposed reduce priceit considered shop responsible product,Negative
43543,5.0,goodgood servicedelivery slowthe quality products problem like subsidize,Negative
43654,1.0,bad bad casethe shop wholesale long time days send parcel freight another days contact storehe told contact transportation aftersales service good allwe contact many roundscall call centerboth destination branchesbass express transport worst wasting lot feelings,Negative
43729,5.0,product package damaged product slow product bit thin crab price slippery,Negative
43856,5.0,get correct product according color according order sizethe shipping quite fastthe product blame damagesoft fur floor matsmaybe go suitable pricecan cheap bahtsize considered wide plateordered crab cat houseduring evening weather sleep warm,Negative
43944,1.0,transportation fast shop bad send slowest saw delivery time expanded period asked send date automated systembut app doesnt see time delivery please cancel post date date restaurant rejected sent day,Negative
44032,2.0,delivered slowlywait long cant cancelsend good quality productsbut shop slow,Negative
44064,4.0,received product cheap quite products according price star broken delivery quite long overall okay,Negative
44076,2.0,order gray brownspend time preparing long time must say shop forever much pay attention customers change colors dont want waste timenot okay send slow still wrong,Negative
44147,3.0,order date delivery day delayed delaythan day duration quite longthe preorder china time beforethe product considered okworth price thick,Negative
44241,3.0,slow ordered gray pink feel terrible,Negative
44313,4.0,quality according order price received considered longfolded pastry postage bag bag floorif bag outside torn stain damage carpet hairs carpet aspect clipoverall considered used prices,Negative
44437,5.0,carpet affordabledelivery relatively slowflick fucked littlelooks tight ok carpet affordabledelivery relatively slowflick fucked littlelooks tight ok,Negative
44497,4.0,hair tight straight cuts softnesstransportation slow fast hair tighttransportation slow fast hair tighttransport soon,Negative
44606,4.0,send quickly secretly disappointed think would bigger okaycalculate wrong size course send quickly secretly disappointed think would bigger okaycalculate wrong size course,Negative
44624,5.0,softbeautiful color falling coverthe delivery time fast longnot really disappointed order,Negative
44631,4.0,thick soft thoughtfulbut felt still okay ugly waiting long color orderedthe color feels straightfor dark gray,Negative
44682,5.0,carpets sized color ordered soft good product pack fast delivery dont wait longgood transport service damage buy cheap flash cell,Negative
44867,5.0,soft recommended disappointed send slowly disappointed product quality receivedbut come wait hair fall,Negative
44904,4.0,send little slow broken overall ok,Negative
44949,5.0,first sent mistake one size ordered two piecesat first shop press refundbut want moreso send carpet wrongthe shop okaykeep yourselfand sent right anotherwaiting little slow week concluded,Negative
45222,1.0,choose shop many items choose fromthe price ordered takes days send item chat alongbut transportation goodenough feel frustrated taking video sheep product exactly cover order light gray send gray dark alkalibaht lot problems waiting long time,Negative
45507,5.0,waiting long time pack wears half fold put bag affordable soft delivered sensitive get color size exactly orderednin trade damaged,Negative
45667,5.0,sent slow want tell shopthis color bag randomly risky housewife take much labellike garbage bag,Negative
45768,1.0,first slowin addition parcel damaged transport wrong colordo order color wrong color price expensive impressed service,Negative
46019,1.0,delivery later storesbut still specified periodbut sending wrong color okay cannot replaced order brown pink shop offers baht refundi dont know another question,Negative
46028,4.0,product worth compared price request broken star transport slow,Negative
46056,1.0,bad ordered another color color slow normally buy bad shopbut never problem dont think come see storewaiting long time still delivered,Negative
46262,5.0,product complete well delivered reasonably waiting long damage product complete well delivered reasonably waiting long damage product complete well delivered reasonably waiting long damage product complete well delivered reasonably waiting long damage,Negative
46320,4.0,ordered received day quite longer usualthe box arrived bumpat fragile box page usage yet trybut think problems,Negative
46382,4.0,packing box good broken receipt goodaccording order order period price little longerbut get area tb,Negative
46532,5.0,delivery slowproducts exactly ordered disadvantage bags bumpedthe time relatively fastnormal transfer,Negative
46696,5.0,received productthe shop sent correctly according modelby color number orderedthe shop sends product wait long time shop pack tighttry open computer problem,Negative
46837,1.0,transport delay slow get pick product system send next daythink lost wrong house first cj transport product actually hot hot spinning inside loudness feeling poorlike bad assembly conclusion impressed recommend product transport,Negative
46867,4.0,used wellreally wanting gold noso ordered pink color according cover plugged computermust turn new machinedont know othersecretly broken straight sent little slownot slow forget orderbut slowly desire disappeared,Negative
46881,5.0,received product ordered completely delivery considered fast enough ask try first think problemthe box comes bad condition bad especially transporting best express slowly delivered plus sending wrong side sign pick item must call want shopee stop using service,Negative
47179,5.0,good quality products inexpensive shop sensitivebut accidentally stuck problem shipping company made slow productbut contacting shop replied every time,Negative
47221,4.0,buy hrs bahtspx relatively slow spx sent cj come us hate opened phase group person price baht repeated baht bought noon days usused normallydo say hello ask refund like,Negative
47249,4.0,look longrecently migrated normal data use seagate alreadyand doesnt like convert filesto used tv bought collect worknot used store seriesthe old body used store seriesthere need anything plugging tv must pay another file conversionoverall considered goodjust stick,Negative
47296,5.0,received product specifiedno problemstick delivery product slowlyuntil must follow extend timebecause fear cancellation product uses discount code call center employees fastaccording submissionbut durable must try overall ok,Negative
47369,5.0,shipment slow fast days bag gok product damaged transportationwill try plug computer problemif problem updated listen,Negative
47542,5.0,normal day shop sentfit order long stop wait wait understandcan purchased third price buying case,Negative
47570,5.0,received product successfullycan work well problem shop fast try product long time pressing product receipt,Negative
47622,5.0,fast deliveryeven bags even long stopsellerwin used normallyno problemthere lot shocks,Negative
47808,5.0,wrapped shockproofbut affected boxsend lot sensitivity sd card vouchermust register later,Negative
47886,1.0,send slow service bad advicecant affect computerthe staff contact back call free guide,Negative
48116,5.0,received productpack goodthe delivery holiday slowbuy pro get discountsonly admin answered badly,Negative
48184,5.0,dont know say plus bag shock saying buy enough glowing try look normal lets look long,Negative
48488,5.0,get slowtransport scroll slide another days gettransport b something doesnt want use itcontact staff set cyclestired follow shop helpwell right quality,Negative
48520,1.0,seller slowdo know days transit bad best express many timesdo press ring housechange name bad express staff like fake signatures pick whole giveaway helmet inserted,Negative
48601,3.0,use problem data slow another informs supportnow wait answer change productbecause bought less seven days days enough plug try golf files,Negative
48609,3.0,product normalbut problem transportationlong transportationsaid delivery powercustomers waiting forbut contacted transportcome see status customer requests postpone first round please ask shopee tell waiting system two roundssaid customers request scroll received slow customer request postpone,Negative
48742,4.0,genuine products good quality cheap price broken one rating slow,Negative
48857,5.0,new good products delivery sensitive waiting long time checkless problem check bad cant find im happy dont like lot plus bag descent,Negative
49134,5.0,external hard disk light smallsuitable carryingthe shop little slow dont hurry use okaygood quality products,Negative
49143,5.0,want get long time roll price flash sale goodcheaper mallthe pack good damagethe color ordered thatbut havent triedthink good good quality,Negative
49194,5.0,received itemcan used normallythink problem capacity come tb considered normalbut status slow,Negative
49248,3.0,order wifi quite sensitivethe sound little loudthe cable longer feel shortdifficult toothtransportation goodto fault shop service shipping company would like say badand emphasized allergic wrapping wrapping makegood service pay attention everything,Negative
49284,5.0,product covereddelivery takes long time inexpensive quality packed well dense damaged,Negative
49816,1.0,service badwhen purchase response hours would eat himwhen problem sale replythe clip teach detailed shamethe latest text blocks shopwho buy try think good good bad shop product qualityaftersales service,Negative
49976,4.0,good productgood installation servicemoderate price waste tt press wrong order press wifi push press boothslowshould clear bracket besides ignition code person wrong code similarthe price delivery cost must anyone changeand output fee itselfand must sit wait,Negative
50070,5.0,quite difficult tears flow long paper stickbut overall considered goodwaste little paperbecause must goodwait turn must satisfiedput every roundprinter,Negative
50230,5.0,received itemwell wrapped shop delivery sensitive slow transport pay service shop goodplease try first,Negative
50530,4.0,princime clearthe shop said shopees fire order another brand tryif obvious translates,Negative
51070,5.0,shop fastanswer quickly wait daysbut came review later forgetting little confused side use,Negative
51285,1.0,mint green order light greenshould conscious product pack deliverysend itplus another blame wrinkle remove color dont like take star enough chat answer slowly calling number given facebook page doesnt knowbecause call attached,Negative
51330,3.0,mint green orderobtainedgreen ohthan choose colorthinking long timefinally color selecteddont tell returneddont say easythink reality difficult fastgood usebut get color doesnt like,Negative
51523,4.0,item delayed slowlyup pay friday send send saturday evening delivery shop still shy,Negative
51581,2.0,requesting broken star fast slow order purple graythe shop check orders ordered received hatari,Negative
51766,4.0,send slowly dont know slow ok products use normallybut order blue color gray stressed color transportation wanting company ninja van,Negative
51916,2.0,wholesale wholesale stores transport slow takes days order simultaneous items first daybut slowthe condition box torn item damaged,Negative
52299,5.0,received product wellthe product damaged normal usecool forcethe shop delivered quickly wait long timevery affordable price,Negative
52430,5.0,received productinitially longterm waiting problem,Negative
52472,4.0,get right product quicklythe product well packednothing broken damagedbig powerwith inexpensive price makes little baked materialuse little us long time,Negative
53046,4.0,send little longerthe item damaged color correct sheep sent others price cheaper big c reduction code ordered,Negative
53311,5.0,receivedwaiting item longthink slowthis time transport lot problems happy item damaged,Negative
53337,4.0,ordered received day waiting cheap price came flash sale episode star broken lock brokenshould broken box long timethe shop would checkedthe shop check device box well sending customerbut went find original fan insteaddont problems,Negative
53579,5.0,good product work without problemsfast deliveryat first fear slowly fanbut sensitive,Negative
54008,5.0,service shop goodgood quality products quality materialsbut transportation company ninja van terrible never encountering bad transport sending lot slow waiting almost weeks,Negative
54196,4.0,fair quality products broken star slow delivery,Negative
54287,5.0,wait long get item damage wait long time receive item damage wait longer get item damage,Negative
54479,5.0,standard large standard hard use switch originalblue typical needed late transport,Negative
54620,3.0,first delivery completeanswer quite long time still good send restbut sender bad j read name liability also came make symbol silent shop responded late personal lines responded quickly,Negative
55482,5.0,sent thinkthought would wait longergood packing products nothing damagedthought would wait longergood packing products nothing damagedthought would wait longergood packing products damage,Negative
55577,5.0,product takes long timethe pack wrapped wellnothing damagedthe device difficult use still cant find problem,Negative
55618,5.0,box put another layer boxcausing product damage product line comes shortvery fast delivery daythe shop asked quicklychat went late,Negative
55787,3.0,product noise problemsmaking system claim understand transportation limited understand want prevent disappearancebut bad transport companies customers still follow claim againwe try cause problems partbut shop still complaintdo think takes longer thinkfeel terrible,Negative
56077,3.0,first round camera arrived problemis pink formso use exam two days returnthan follow product long timelike administration shop know aboutthan talk understandbut second round product ok terrible,Negative
56104,5.0,received productthe product fully complete according amount orderedthe shop shipped product need wait longmadnessnot damagedthe product okay disappointed,Negative
56586,5.0,product pack ok delivery kerry slow product already usedthe lens cannot adjustedcan use itkeep product box problems,Negative
56659,2.0,impressed sending kremreturned slowly order sent enoughsend slowly machine comes sound waste time test long timeand try many testsdo think new items problems still pay back lose temper aftersales service improved,Negative
56798,5.0,shopee review products arrivedno damage wrapped well delivery goodnot waiting long time quality products impaired worth money paidthe next time ordered cheap compared stores,Negative
57326,2.0,slow deliveryif badly need ask seller shipping,Negative
57506,4.0,slow delivery stuck kerry everywhere,Negative
